suite,param_value,split,n_nodes,n_edges,mean_area,mean_shape_index,mean_neighbors
Control,0.1,train,35,76,0.8785406351089478,4.008939743041992,4.342857360839844
Control,0.1,train,42,95,0.7345449328422546,4.018561840057373,4.523809432983398
Control,0.1,train,45,103,0.7081010341644287,3.9818997383117676,4.577777862548828
Control,0.1,train,45,103,0.7235527634620667,3.985185384750366,4.577777862548828
Control,0.1,train,45,104,0.7417068481445312,3.9836792945861816,4.622222423553467
Control,0.1,train,51,117,0.6671155095100403,4.016450881958008,4.588235378265381
Control,0.1,train,51,117,0.6866498589515686,3.995762586593628,4.588235378265381
Control,0.1,train,51,117,0.7071049809455872,3.991316556930542,4.588235378265381
Control,0.1,train,58,136,0.6583019495010376,3.964448928833008,4.689655303955078
Control,0.1,train,58,136,0.677280068397522,3.967343330383301,4.689655303955078
Control,0.1,train,58,136,0.6946704387664795,3.9706506729125977,4.689655303955078
Control,0.1,train,58,136,0.7112091779708862,3.9723994731903076,4.689655303955078
Control,0.1,train,58,136,0.7273141145706177,3.9754743576049805,4.689655303955078
Control,0.1,train,58,136,0.7433605790138245,3.980060338973999,4.689655303955078
Control,0.1,train,58,136,0.7694738507270813,3.9883759021759033,4.689655303955078
Control,0.1,train,58,136,0.778769850730896,3.9863407611846924,4.689655303955078
Control,0.1,train,58,136,0.787563681602478,3.987541437149048,4.689655303955078
Control,0.1,train,58,136,0.7963728308677673,3.989809274673462,4.689655303955078
Control,0.1,train,62,146,0.7531164288520813,3.994793176651001,4.709677219390869
Control,0.1,train,62,146,0.7609298229217529,3.9863474369049072,4.709677219390869
Control,0.1,train,62,146,0.7681697607040405,3.984710216522217,4.709677219390869
Control,0.1,train,71,171,0.6812156438827515,4.022130489349365,4.816901206970215
Control,0.1,train,71,171,0.6853154301643372,3.9923181533813477,4.816901206970215
Control,0.1,train,75,181,0.6542249321937561,4.007411956787109,4.826666831970215
Control,0.1,train,75,181,0.6607088446617126,3.9997973442077637,4.826666831970215
Control,0.1,train,75,181,0.668002188205719,3.9965198040008545,4.826666831970215
Control,0.1,train,86,212,0.5880089402198792,4.003174781799316,4.930232524871826
Control,0.1,train,86,212,0.6077862977981567,3.977006673812866,4.930232524871826
Control,0.1,train,96,238,0.5554417967796326,3.9666202068328857,4.958333492279053
Control,0.1,train,96,238,0.5679055452346802,3.950758695602417,4.958333492279053
Control,0.1,train,96,238,0.5813449025154114,3.9427897930145264,4.958333492279053
Control,0.1,train,96,238,0.5951500535011292,3.943192720413208,4.958333492279053
Control,0.1,train,96,238,0.6083412170410156,3.944337844848633,4.958333492279053
Control,0.1,train,96,238,0.6220583319664001,3.9638614654541016,4.958333492279053
Control,0.1,train,96,238,0.6243128180503845,3.97295880317688,4.958333492279053
