-- Configuring done (3.5s)
-- Generating done (2.0s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestControl_15x4
=== BUILD DONE, STARTING TestControl_15x4 ===
Running 3 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestControl_15x4.hpp *****


Entering TestControl_rep1
Starting simulation: Control_15x4 rep1
Target area: 60 units^2
Initial cell count: 6
t=111 h | cells=112 | area=59.6141/60 | coverage=99.3568%
t=112 h | cells=119 | area=59.8712/60 | coverage=99.7853%
t=113 h | cells=119 | area=59.9745/60 | coverage=99.9575%
t=114 h | cells=119 | area=59.9935/60 | coverage=99.9891%
t=115 h | cells=119 | area=59.999/60 | coverage=99.9983%
t=116 h | cells=119 | area=60/60 | coverage=100%
t=117 h | cells=119 | area=60/60 | coverage=100%
t=118 h | cells=119 | area=60/60 | coverage=100%
t=119 h | cells=119 | area=60/60 | coverage=100%
Box fully covered (100%) at t=119 h. Stopping.
Final cell count: 119
Passed
OK!
Chaste warning: in file /home/conda/build_artifacts/chaste_1736320297758/work/global/src/checkpointing/Identifiable.cpp at line 106: Unable to determine the class type. If you are using C++ serialization may not be set up correctly. 
 If you are using Python this behaviour is expected.
