-- Configuring done (3.9s)
-- Generating done (2.1s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestAdhesion
=== BUILD DONE, STARTING TestAdhesion ===
Running 30 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestAdhesion.hpp *****


Entering TestLineTension_0p00_rep1
Starting simulation: LineTension_0.00_rep1
lineTension = 0
Target area: 60 units^2
Initial cell count: 6
t=96 h | cells=70 | area=49.3809/60 | coverage=82.3014%
t=97 h | cells=77 | area=49.8313/60 | coverage=83.0522%
t=98 h | cells=77 | area=50.3395/60 | coverage=83.8991%
t=99 h | cells=77 | area=50.9082/60 | coverage=84.847%
t=100 h | cells=87 | area=51.4464/60 | coverage=85.7441%
t=101 h | cells=87 | area=52.1954/60 | coverage=86.9923%
t=102 h | cells=87 | area=53.129/60 | coverage=88.5484%
t=103 h | cells=95 | area=54.1759/60 | coverage=90.2931%
t=104 h | cells=95 | area=55.3377/60 | coverage=92.2295%
t=105 h | cells=95 | area=56.5969/60 | coverage=94.3282%
t=106 h | cells=95 | area=57.8964/60 | coverage=96.4941%
t=107 h | cells=95 | area=59.0757/60 | coverage=98.4595%
t=108 h | cells=95 | area=59.7022/60 | coverage=99.5036%
t=109 h | cells=95 | area=59.9563/60 | coverage=99.9272%
t=110 h | cells=95 | area=60/60 | coverage=100%
Box fully covered (100%) at t=110 h. Stopping.
Final cell count: 95
Passed
Entering TestLineTension_0p00_rep3
Starting simulation: LineTension_0.00_rep3
lineTension = 0
Target area: 60 units^2
Initial cell count: 6
t=1 h | cells=6 | area=5.7812/60 | coverage=9.63534%
t=2 h | cells=6 | area=5.8048/60 | coverage=9.67466%
t=3 h | cells=6 | area=5.80472/60 | coverage=9.67454%
t=4 h | cells=6 | area=5.80514/60 | coverage=9.67523%
t=5 h | cells=6 | area=5.80572/60 | coverage=9.6762%
t=6 h | cells=6 | area=5.80635/60 | coverage=9.67725%
t=7 h | cells=6 | area=5.80696/60 | coverage=9.67827%
t=8 h | cells=6 | area=5.80755/60 | coverage=9.67925%
t=9 h | cells=6 | area=5.8081/60 | coverage=9.68016%
t=10 h | cells=7 | area=5.7961/60 | coverage=9.66016%
t=11 h | cells=7 | area=5.88996/60 | coverage=9.8166%
t=12 h | cells=7 | area=5.99253/60 | coverage=9.98755%
t=13 h | cells=8 | area=6.12114/60 | coverage=10.2019%
t=14 h | cells=9 | area=6.31678/60 | coverage=10.528%
t=15 h | cells=11 | area=6.61032/60 | coverage=11.0172%
t=16 h | cells=12 | area=7.10282/60 | coverage=11.838%
t=17 h | cells=12 | area=7.70678/60 | coverage=12.8446%
t=18 h | cells=12 | area=8.31758/60 | coverage=13.8626%
t=19 h | cells=12 | area=8.91581/60 | coverage=14.8597%
t=20 h | cells=12 | area=9.49077/60 | coverage=15.818%
t=21 h | cells=12 | area=9.99739/60 | coverage=16.6623%
t=22 h | cells=12 | area=10.4975/60 | coverage=17.4958%
t=23 h | cells=12 | area=10.9293/60 | coverage=18.2155%
t=24 h | cells=12 | area=11.2947/60 | coverage=18.8245%
t=25 h | cells=12 | area=11.4907/60 | coverage=19.1512%
t=26 h | cells=12 | area=11.5498/60 | coverage=19.2497%
t=27 h | cells=12 | area=11.5553/60 | coverage=19.2588%
t=28 h | cells=12 | area=11.5597/60 | coverage=19.2661%
t=29 h | cells=12 | area=11.5636/60 | coverage=19.2727%
t=30 h | cells=12 | area=11.5672/60 | coverage=19.2787%
